molecule,functional,state,E,f,delta_r
POZ_2,CAM-B3LYP-D3,1,3.7615,0.244,2.494872
POZ_2,CAM-B3LYP-D3,2,4.1723,0.271,1.917389
POZ_2,CAM-B3LYP-D3,3,4.4085,0.0021,3.840428
POZ_2,CAM-B3LYP-D3,4,4.4411,0.0236,2.077494
POZ_2,CAM-B3LYP-D3,5,4.8904,0.0329,1.715759
POZ_2,CAM-B3LYP-D3,6,5.031,0.4378,1.811333
POZ_2,CAM-B3LYP-D3,7,5.0742,0.1704,2.230268
POZ_2,CAM-B3LYP-D3,8,5.5164,0.0211,2.414281
POZ_2,CAM-B3LYP-D3,9,5.5316,0.7053,1.610708
POZ_2,CAM-B3LYP-D3,10,5.7464,0.0593,2.727179
BF3-Acr_p,CAM-B3LYP-D3,1,3.2862,0.2547,0.974709
BF3-Acr_p,CAM-B3LYP-D3,2,3.6862,0.0091,2.69342
BF3-Acr_p,CAM-B3LYP-D3,3,3.8906,0.0002,5.06292
BF3-Acr_p,CAM-B3LYP-D3,4,3.9358,0.1304,2.957056
BF3-Acr_p,CAM-B3LYP-D3,5,4.0914,0.1309,1.443507
BF3-Acr_p,CAM-B3LYP-D3,6,4.4191,0.0406,2.092496
BF3-Acr_p,CAM-B3LYP-D3,7,4.9421,0.0326,2.358792
BF3-Acr_p,CAM-B3LYP-D3,8,5.1304,0.0293,3.073994
BF3-Acr_p,CAM-B3LYP-D3,9,5.3097,1.1441,1.487519
BF3-Acr_p,CAM-B3LYP-D3,10,5.3375,0.0452,4.789394
PTZ_3,CAM-B3LYP-D3,1,3.9192,0.1148,2.628939
PTZ_3,CAM-B3LYP-D3,2,4.0562,0.0658,1.05705
PTZ_3,CAM-B3LYP-D3,3,4.4926,0.0075,1.553795
PTZ_3,CAM-B3LYP-D3,4,4.57,0.1359,1.385838
PTZ_3,CAM-B3LYP-D3,5,4.7755,0.0066,3.044001
PTZ_3,CAM-B3LYP-D3,6,4.823,1.1923,2.083574
PTZ_3,CAM-B3LYP-D3,7,5.0666,0.0635,2.324472
PTZ_3,CAM-B3LYP-D3,8,5.3723,0.0121,2.185946
PTZ_3,CAM-B3LYP-D3,9,5.4715,0.2448,1.529223
PTZ_3,CAM-B3LYP-D3,10,5.504,0.0114,1.506006
PDI_1,CAM-B3LYP-D3,1,2.6386,0.9555,0.001805
PDI_1,CAM-B3LYP-D3,2,3.7803,0.0001,0.003186
PDI_1,CAM-B3LYP-D3,3,3.971,0.0001,0.014978
PDI_1,CAM-B3LYP-D3,4,3.9909,0.1157,0.002263
PDI_1,CAM-B3LYP-D3,5,4.1789,0.0,0.008223
PDI_1,CAM-B3LYP-D3,6,4.2839,0.0003,0.005126
PDI_1,CAM-B3LYP-D3,7,4.2859,0.0,0.005052
PDI_1,CAM-B3LYP-D3,8,4.3337,0.0,0.009244
PDI_1,CAM-B3LYP-D3,9,4.5053,0.0,0.018146
PDI_1,CAM-B3LYP-D3,10,4.5654,0.0004,0.001835
CA_2,CAM-B3LYP-D3,1,3.3712,0.254,1.766838
CA_2,CAM-B3LYP-D3,2,3.5039,0.2824,2.176953
CA_2,CAM-B3LYP-D3,3,3.7101,0.1007,1.197692
CA_2,CAM-B3LYP-D3,4,3.7531,0.1294,1.299446
CA_2,CAM-B3LYP-D3,5,4.098,0.3424,2.506376
CA_2,CAM-B3LYP-D3,6,4.2963,0.0157,1.571381
CA_2,CAM-B3LYP-D3,7,4.6816,0.1931,2.29033
CA_2,CAM-B3LYP-D3,8,4.7709,0.073,2.271617
CA_2,CAM-B3LYP-D3,9,4.7824,0.0561,2.278145
CA_2,CAM-B3LYP-D3,10,4.8027,0.3905,2.143496
Eos_1,CAM-B3LYP-D3,1,2.8728,0.9339,0.992899
Eos_1,CAM-B3LYP-D3,2,3.7201,0.0182,2.271251
Eos_1,CAM-B3LYP-D3,3,4.0552,0.1803,2.139227
Eos_1,CAM-B3LYP-D3,4,4.2307,0.0017,3.069273
Eos_1,CAM-B3LYP-D3,5,4.304,0.0015,3.222017
Eos_1,CAM-B3LYP-D3,6,4.3545,0.0509,1.870688
Eos_1,CAM-B3LYP-D3,7,4.4101,0.0374,2.524276
Eos_1,CAM-B3LYP-D3,8,4.5632,0.2835,2.409857
Eos_1,CAM-B3LYP-D3,9,4.7684,0.0803,2.012283
Eos_1,CAM-B3LYP-D3,10,4.8016,0.0329,2.244837
Me2-Acr_3,CAM-B3LYP-D3,1,3.6623,1.4096,1.590252
Me2-Acr_3,CAM-B3LYP-D3,2,3.9516,0.0004,4.109579
Me2-Acr_3,CAM-B3LYP-D3,3,4.1716,0.266,1.789302
Me2-Acr_3,CAM-B3LYP-D3,4,4.4158,0.288,1.325816
Me2-Acr_3,CAM-B3LYP-D3,5,4.4782,0.0709,1.838679
Me2-Acr_3,CAM-B3LYP-D3,6,4.6092,0.0642,0.800426
Me2-Acr_3,CAM-B3LYP-D3,7,4.6389,0.0064,1.812976
Me2-Acr_3,CAM-B3LYP-D3,8,4.9074,0.0003,1.797684
Me2-Acr_3,CAM-B3LYP-D3,9,4.9184,0.0017,1.808433
Me2-Acr_3,CAM-B3LYP-D3,10,5.0669,0.0032,1.32334
Rh_6G,CAM-B3LYP-D3,1,2.9727,1.0344,0.950069
Rh_6G,CAM-B3LYP-D3,2,3.7184,0.0001,1.28949
Rh_6G,CAM-B3LYP-D3,3,4.3724,0.3047,0.909082
Rh_6G,CAM-B3LYP-D3,4,4.5707,0.0009,1.49919
Rh_6G,CAM-B3LYP-D3,5,4.7127,0.0587,3.180857
Rh_6G,CAM-B3LYP-D3,6,4.7757,0.0915,3.09949
Rh_6G,CAM-B3LYP-D3,7,4.8792,0.0121,2.66467
Rh_6G,CAM-B3LYP-D3,8,4.9823,0.2642,2.283085
Rh_6G,CAM-B3LYP-D3,9,5.2938,0.0189,1.86108
Rh_6G,CAM-B3LYP-D3,10,5.3208,0.022,1.736837
PA_1,CAM-B3LYP-D3,1,3.3822,0.0,7e-05
PA_1,CAM-B3LYP-D3,2,3.8023,0.184,0.000283
PA_1,CAM-B3LYP-D3,3,4.0134,0.0,8.8e-05
PA_1,CAM-B3LYP-D3,4,4.0518,0.0,9e-05
PA_1,CAM-B3LYP-D3,5,4.2867,0.0,0.001716
PA_1,CAM-B3LYP-D3,6,4.4208,0.0,4.2e-05
PA_1,CAM-B3LYP-D3,7,4.5985,0.1157,0.001537
PA_1,CAM-B3LYP-D3,8,5.3444,0.0053,0.000109
PA_1,CAM-B3LYP-D3,9,5.4744,1.1875,0.00015
PA_1,CAM-B3LYP-D3,10,5.5062,0.0013,0.000184
CA_3,CAM-B3LYP-D3,1,3.3092,0.0556,0.593063
CA_3,CAM-B3LYP-D3,2,3.4878,0.032,2.095974
CA_3,CAM-B3LYP-D3,3,3.6385,0.0016,2.03894
CA_3,CAM-B3LYP-D3,4,3.7218,0.0788,1.272008
CA_3,CAM-B3LYP-D3,5,4.0152,0.0005,4.214994
CA_3,CAM-B3LYP-D3,6,4.0222,0.0003,4.21211
CA_3,CAM-B3LYP-D3,7,4.0885,0.0142,1.385037
CA_3,CAM-B3LYP-D3,8,4.1398,0.0019,4.270996
CA_3,CAM-B3LYP-D3,9,4.1689,0.0458,2.405236
CA_3,CAM-B3LYP-D3,10,4.3774,0.0009,3.912444
NCE_3,CAM-B3LYP-D3,1,3.7873,1.0252,1.352703
NCE_3,CAM-B3LYP-D3,2,3.8635,0.6313,2.169362
NCE_3,CAM-B3LYP-D3,3,4.3801,0.6736,0.952986
NCE_3,CAM-B3LYP-D3,4,4.5308,0.0,4.548262
NCE_3,CAM-B3LYP-D3,5,4.6792,0.0269,1.413262
NCE_3,CAM-B3LYP-D3,6,4.969,0.2769,1.743397
NCE_3,CAM-B3LYP-D3,7,5.102,0.001,7.927978
NCE_3,CAM-B3LYP-D3,8,5.1788,0.1259,2.223443
NCE_3,CAM-B3LYP-D3,9,5.1831,0.0,5.029432
NCE_3,CAM-B3LYP-D3,10,5.3112,0.0017,2.790204
PDI_2,CAM-B3LYP-D3,1,2.6835,0.6924,0.003863
PDI_2,CAM-B3LYP-D3,2,3.4848,0.2011,0.003423
PDI_2,CAM-B3LYP-D3,3,3.6028,0.0291,0.005103
PDI_2,CAM-B3LYP-D3,4,3.9417,0.0087,0.031233
PDI_2,CAM-B3LYP-D3,5,3.9731,0.0,0.010051
PDI_2,CAM-B3LYP-D3,6,4.2241,0.0001,0.012935
PDI_2,CAM-B3LYP-D3,7,4.2288,0.0001,0.013032
PDI_2,CAM-B3LYP-D3,8,4.2795,0.0,0.032389
PDI_2,CAM-B3LYP-D3,9,4.3439,0.0012,0.014396
PDI_2,CAM-B3LYP-D3,10,4.6108,0.0064,0.003624
